code,iata,name,city,region,lat,lon,longest_rwy_ft
00CA,,Goldstone (GTS) Airport,Barstow,US-CA,35.3547,-116.8853,6000
01MT,,Crystal Lakes Resort Airport,Fortine,US-MT,48.7891,-114.88,5000
04CA,,Gray Butte Field,Palmdale,US-CA,34.5666,-117.6707,8000
04TT,,4D Ranch Airport,Utopia,US-TX,29.7131,-99.5456,5134
04WN,,Stillwater Creek Airport,Royal City,US-WA,46.9584,-119.6386,4100
05CL,,Pope Valley Airport,Pope Valley,US-CA,38.6107,-122.391,3700
06FA,,William P Gwinn Airport,Jupiter,US-FL,26.9084,-80.3289,7003
06TE,,Ainsworth Airport,Cleveland,US-TX,30.3127,-95.0269,3500
07FA,OCA,Ocean Reef Club Airport,Key Largo,US-FL,25.3254,-80.2748,4500
07K,,Central City Municipal - Larry Reineke Field,Central City,US-NE,41.1126,-98.0517,3700
07MT,,Glasgow Industrial Airport,Glasgow,US-MT,48.4211,-106.528,13500
08F,,City of Coalgate Airport,Coalgate,US-OK,34.5318,-96.2331,3862
08MS,,Midsouth Airpark,Coldwater,US-MS,34.6615,-89.8696,3725
09FA,,Placid Lakes Airport,Lake Placid,US-FL,27.2456,-81.4133,4800
09TS,,Pitcock Rosillos Mountain Ranch Airport,Marathon,US-TX,29.4824,-103.165,4083
0AZ2,,Western Sky Airport,Salome,US-AZ,33.7782,-113.6406,3500
0CO2,CSE,Crested Butte Airpark,Crested Butte,US-CO,38.8519,-106.9283,4000
0ID2,,Flying Joseph Ranch Airport,May,US-ID,44.4429,-113.773,7507
0NE6,,Frager Field,Fairfield,US-NE,40.4333,-98.0706,3500
0OK3,,McKinley Ranch Airport,Geary,US-OK,35.6145,-98.5344,5000
0R7,,The Red River Airport,Coushatta,US-LA,31.9907,-93.3074,5000
0TA7,,Alta Vista Ranch Airport,Marfa,US-TX,30.1532,-103.8998,5200
0TE5,,Santa Maria Ranch Airport,Laredo,US-TX,27.4338,-99.1859,5992
0TE7,JCY,LBJ Ranch Airport,Stonewall,US-TX,30.2518,-98.6225,6291
0TX1,,Pecan Plantation Airport,Granbury,US-TX,32.3533,-97.6762,3500
0XA4,,Seven Cs Ranch Airport,Encinal,US-TX,27.9969,-98.8822,5005
0XA5,,74 Ranch Airport,Campbellton,US-TX,28.6849,-98.3828,3800
0XS7,,Anacacho Ranch Airport,Brackettville,US-TX,29.1937,-100.28,6000
KHBE,,Himsel Army Airfield,Nineveh,US-IN,39.3393,-86.0298,4039
12NC,,Atlantic Field Marine Corps Outlying Field,Atlantic,US-NC,34.8921,-76.349,3678
13NC,,Oak Grove Marine Corps Outlying Field,Pollocksville,US-NC,35.025,-77.2559,4200
14AZ,,Ruby Star Airpark,Sahuarita,US-AZ,31.9095,-111.1203,4300
14MS,,Rose Field,Hickory,US-MS,32.3453,-89.0342,3500
14NC,,Camp Davis Marine Corps Outlying Field,Holly Ridge,US-NC,34.5165,-77.5451,5000
KUSW,,Boggs Field,Spencer,US-WV,38.8238,-81.3488,4549
14TS,,O S Wyatt Airport,Realitos,US-TX,27.4217,-98.6045,6010
15FL,,Cannon Creek Airpark,Lake City,US-FL,30.1506,-82.6679,3500
17FL,,Jumbolair-Greystone Airport,Ocala,US-FL,29.2774,-82.1207,7380
17XS,,Quahadi Ranch Airport,Dublin,US-TX,32.1778,-98.435,6295
18AZ,,Sky Ranch At Carefree Airport,Carefree,US-AZ,33.8185,-111.8983,4029
18TA,,West Kerr Ranch Airport,Junction,US-TX,30.1363,-99.7437,4500
18TE,,Alert Field,Big Sandy,US-TX,32.5852,-95.0639,5093
19MT,,N Bar Ranch Airport,Grass Range,US-MT,46.8381,-108.9368,6000
1AZ0,,Bishop Airfield,Mobile,US-AZ,33.1119,-112.269,4500
1CA1,,Belridge Strip,McKittrick,US-CA,35.4679,-119.722,5600
1CO5,,Melon Field,Rocky Ford,US-CO,38.0162,-103.6946,3780
1GA0,,Eagle Neck Airport,Shellman Bluff,US-GA,31.6394,-81.329,3744
1I9,,Delphi Municipal Airport,Delphi,US-IN,40.5428,-86.6817,4001
1K1,,Lloyd Stearman Field,Benton,US-KS,37.7779,-97.1135,5106
1K5,,Waynoka Municipal Airport,Waynoka,US-OK,36.5715,-98.8547,3532
1K8,,South Grand Lake Regional Airport,Ketchum,US-OK,36.5417,-95.0211,4730
1M7,,Fulton Airport,Fulton,US-KY,36.5259,-88.9156,4001
1MI3,,Black River Ranch Airport,Onaway,US-MI,45.1958,-84.3217,3900
1MS8,,Columbus Air Force Base Auxiliary Field (Gunshy),Shuqualak,US-MS,32.9401,-88.5792,6302
